title,address,facility,緯度,経度
美園公園,和歌山県和歌山市美園町2丁目95,飛行機の遊具や機関車の遊具、複合遊具は船をモチーフにしたものになっているなど、乗り物の遊具がたくさん！乗り物好きの子どもならぜひ立ち寄ってもらいたい公園。...,34.229906,135.1860112
善明寺公園,和歌山県和歌山市善明寺362-2,"和歌山市の「上淡路街道」から少し入った場所にある地域の公園です。住宅街の中で落ち着いた環境にあります。

遊具はブランコやすべり台、砂場、シーソーなど...",34.2608989,135.1852699
大滝川森林公園,和歌山県日高郡日高川町山野,"遊歩道を包み込むのは真っ赤に色づいたモミジ。川沿いに整備された園内では、滝からこぼれ落ちる清流の音が絶え間なく続いています。
キノコやイノシシのかわいい...",33.8941685,135.2665464
大池遊園,和歌山県紀の川市貴志川町長山,「大池遊園」は、紀の川市貴志川町にある大池とその周囲の自然を満喫できる公園です。池の周辺にはたくさんの樹木があり、春には桜が咲き乱れ、たくさんの観光客でに...,34.2073785,135.2923472
園部公園（和歌山市）,和歌山県和歌山市園部212-1,ぐるぐるカーブのすべり台「スパイラルスライダー」や、ボルダリング風の設備が付いた、大きな複合遊具であそべます。お砂場もあり、座って遊ぶのが好きな子にもオス...,34.2655294,135.1947443
松山公園（新宮市）,和歌山県新宮市新宮4643番地の3,新宮市内の高台にある、熊野灘付近の近隣公園です。ふだんは、市民の野外レクリエーションと憩いの場として利用されていますが、津波災害などの緊急時には避難所とし...,33.711635,135.9961838
彦五郎公園,和歌山県西牟婁郡上富田町生馬523-3,その昔、富田川は大雨のたびに氾濫をくり返し、多大な被害をもたらしていたのですが、彦五郎が進んで人柱に立って以降、災害が起こらなくなったという伝説にちなんで...,33.6944751,135.4325126
世界で1つしかない本革ショルダーバッグ作りに挑戦！！,東京都墨田区緑2-13-5,Facility information not found,35.6944123,139.8006397
グランピングでゴージャス×アウトドアをまるっと体験！,滋賀県米原市池下80-1,Facility information not found,35.3729569,136.3607066
砂山公園 ,和歌山県和歌山市出口中ノ丁7,和歌山市の砂山公園は、1年を通じて様々な楽しみ方ができる公園です。春には桜が大変きれいでお花見を楽しむ親子の姿も見られます。夏には、無料の子供プールがオー...,34.2215422,135.1633588
湊緑地,和歌山県和歌山市湊5-4,和歌山市湊にある「河西緩衝緑地 湊緑地」。5つのエリアから構成される河西緩衝緑地の一つであり、紀の川に隣接しています。敷地は細長く、端からすべり台などの遊...,34.2291501,135.143165
有田川町金屋テニス公園,和歌山県有田郡有田川町吉原1138-1,和歌山県有田川町にある有田川町金屋テニス公園では、テニスを楽しむことができます。人工芝のコートを10面あり夜間照明も備える大規模なテニスコートですが、町営...,34.04676,135.2492167
西庄ふれあいの郷,和歌山県和歌山市西庄1107番地36,"「西庄ふれあいの郷」は和歌山市にある自然ハーブ園とゲートゴルフ場が一体になった施設です。
ハーブ園には全部で約70種類ものハーブが栽培されていて、季節ご...",34.2667815,135.115959
秋葉山公園（紀の川市）,和歌山県紀の川市粉河,「秋葉山公園」は、秋葉山の城跡を公園として整備した紀の川市の観光スポットです。展望台からのながめが良く、北に粉河寺を見下ろすことができます。猿岡城跡を示す...,34.2803398,135.4074519
天王緑地,和歌山県和歌山市中之島503-8,紀伊中ノ島駅から徒歩5分の場所にある公園です。大きな船をモチーフにした複合遊具が設置され、カラフルな色合いと様々な仕掛けにワクワクします。床も複合遊具の周...,34.2423641,135.187476
ふれあいの丘 オートキャンプ場,和歌山県有田郡有田川町清水585,"緑いっぱいの自然溢れる広々とした敷地内に、色んな設備が揃っている利便性の高いキャンプ場です。
キャンプといえばテントを張って行うものだと思われがちですが...",34.0893461,135.4425678
西和佐公園,和歌山県和歌山市西和佐,"和歌山市和佐の住宅街の中にある西和佐公園は、カラフルな遊具と芝生の緑がきれいな、新しい公園です。
 広い敷地内には子供達が喜ぶ遊具がたくさんあり、のんび...",34.232695,135.2271766
平見台展望台,和歌山県東牟婁郡太地町太地,和歌山県東牟婁郡太地町の「平見台展望台」です。海岸沿いの景勝地として知られている場所です。展望台は「継子投（ままこなげ）」と呼ばれる断崖絶壁の上に位置して...,33.5873476,135.9443905
加太北の浜公園,和歌山県和歌山市加太,"和歌山市加太、加太海水浴場のすぐ隣にある「加太北の浜公園」は海を眺めながらのんびりくつろげる公園です。
公園内にはクジラ型の複合遊具やブランコなどの遊具...",34.2714293,135.0793351
鳴神公園,和歌山県和歌山市鳴神951,和歌山市鳴神の住宅街にある公園。コンビネーション遊具やジャングルジム、スプリング遊具などの設置と大きな広場があり、幅広い層の人々が利用しています。夏期には...,34.2291428,135.2114745
龍門山県立自然公園,和歌山県紀の川市勝神,紀ノ川中流域の南側、紀州富士の名で親しまれている「龍門山」を中心とする自然公園。3つのハイキングコースが整備され、山頂からは紀ノ川や和泉の山々のほか、遠く...,34.2414851,135.3956935
サン・ナンタンランド,和歌山県東牟婁郡串本町サンゴ台1105,サン・ナンタンランドﾞは、本州最南端の温暖な気候と美しい自然を生かした総合公園です。串本駅に程近い高台にあり、全周が開けて風通しも良好という贅沢な立地にな...,33.4814537,135.7839334
人と自然のふれあい公園　森林公園,和歌山県和歌山市深山600-1,和歌山市の「人と自然のふれあい公園　森林公園」は、その名前の通り豊かな自然がそのまま残されている公園です。春にはさくら、秋には紅葉も楽しめ、四季折々の自然...,34.2835409,135.0949695
宮北公園,和歌山県和歌山市和歌山市黒田,"和歌山市の宮北公園は、夏期限定で無料の幼児用プールが開放される公園です。プールにはクジラの幼児用すべり台もついていて、子供たちは大興奮！
公園の中心には...",34.2371582,135.1950827
