習い事_教室名,習い事_住所,習い事_アクセス,習い事_対象学年,習い事_備考,習い事_URL,習い事_経度,習い事_緯度,習い事_ジャンル_バレエ,習い事_ジャンル_音楽教室,習い事_ジャンル_バスケットボール,習い事_ジャンル_書道・習字,習い事_ジャンル_スイミング・水泳,習い事_ジャンル_柔道,習い事_ジャンル_英語・英会話,習い事_ジャンル_ピアノ,習い事_ジャンル_ダンス,習い事_ジャンル_野球・ソフトボール,習い事_ジャンル_幼児教室,習い事_ジャンル_合気道,習い事_ジャンル_サッカー・フットサル,習い事_ジャンル_テニス,習い事_ジャンル_新体操,習い事_ジャンル_学習塾,習い事_ジャンル_運動・体操,習い事_ジャンル_剣道,習い事_ジャンル_絵画・造形,習い事_ジャンル_空手・拳法,習い事_ジャンル_ラグビー
ECCジュニア 西和佐小学校前教室,和歌山県和歌山市岩橋1005-1　,JR和歌山線田井ノ瀬駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s91200006028,34.2377852,135.2281381,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ECCジュニア 岩橋教室,和歌山県和歌山市岩橋１５８２－３　,JR和歌山線田井ノ瀬駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005943,34.2321119,135.2239002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECCジュニア 榎原団地教室,和歌山県和歌山市榎原１５０－１４４　,南海加太線中松江駅/南海加太線八幡前駅/南海加太線東松江駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s91200005961,34.2551856,135.130213,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ECCジュニア 名草小学校前教室,和歌山県和歌山市紀三井寺534-6ソフィアファーストビル2,きのくに線紀三井寺駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005945,34.1775594,135.1866043,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ECCジュニア 布引教室,和歌山県和歌山市布引405-1　,きのくに線紀三井寺駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005944,34.17689120000001,135.1797423,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ECCジュニア 杭ノ瀬教室,和歌山県和歌山市杭ノ瀬１９３－１３　,きのくに線宮前駅/貴志川線神前駅/貴志川線竈山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006024,34.209801,135.196674,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECCジュニア 四ヶ郷北教室,和歌山県和歌山市有本415-29　,阪和線(天王寺～和歌山)紀伊中ノ島駅/阪和線(天王寺～和歌山)六十谷駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005966,34.2523724,135.1979025,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ECCジュニア 小倉教室,和歌山県和歌山市大垣内12-3　,JR和歌山線紀伊小倉駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006009,34.241188,135.2794813,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ECCジュニア 秋葉町教室,和歌山県和歌山市4-21秋葉山マンション108　,,,,https://sp-sukusuku.jp/kyoushitsu/s91200005970,34.2008482,135.1708167,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECCジュニア 楠本教室,和歌山県和歌山市楠本72-18　,阪和線(天王寺～和歌山)紀伊駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006007,34.2601309,135.2536333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ECC外語学院 ECCKIDS 和歌山ミオ校,和歌山県和歌山市美園町5-61和歌山ミオ3F,阪和線(天王寺～和歌山)和歌山駅/JR和歌山線和歌山駅/きのくに線和歌山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,土日あり/親子コースあり/駅チカ,https://sp-sukusuku.jp/kyoushitsu/s92900000135,34.232415,135.1905193,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ラボ・パーティ 和歌山市湊御殿教室(森 瑞穂パーティ),和歌山県和歌山市湊御殿3丁目7-7,南海和歌山港線和歌山港駅,⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駐車場あり,https://sp-sukusuku.jp/kyoushitsu/s22000000038,34.2178447,135.1587525,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ラボ・パーティ 和歌山市中之島教室(納谷 里咲パーティ),和歌山県和歌山市中之島,紀勢本線(和歌山～和歌山市)紀和駅,ベビー,親子コースあり,https://sp-sukusuku.jp/kyoushitsu/s90300000058,34.2417354,135.1857186,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
講談社こども教室 パームシティ和歌山教室,和歌山県和歌山市中野31-1パームシティ和歌山1階,南海加太線東松江駅/南海加太線中松江駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,土日あり/駐車場あり,https://sp-sukusuku.jp/kyoushitsu/s93400000066,34.2553942,135.1403921,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
講談社こども教室 ふじと台教室,和歌山県和歌山市中字楠谷573イオンモール和歌山3階,南海本線和歌山大学前駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s93400000079,34.2755306,135.1492484,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
講談社こども教室 和歌山教室,和歌山県和歌山市新生町7-20イズミヤ和歌山店2階,貴志川線田中口駅/きのくに線宮前駅/貴志川線和歌山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s93400000075,34.2216586,135.1874058,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
ピアノ教室 piano musica,和歌山県和歌山市中之島509-6,阪和線(天王寺～和歌山)紀伊中ノ島駅/紀勢本線(和歌山～和歌山市)紀和駅/紀勢本線(和歌山～和歌山市)和歌山駅,,,https://sp-sukusuku.jp/kyoushitsu/s19000009285,34.243061,135.1872162,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
リーガ水球クラブ,和歌山県和歌山市太田１２７　向陽高校プール,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123882,34.2276051,135.1997686,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
進学塾ライナー（ＬＩＮＥＡＲ）,和歌山県和歌山市出口中ノ丁３３,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032549,34.2214559,135.164313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ｉＴｅｅｎ和歌山駅前校,和歌山県和歌山市太田１丁目１１－１３－２Ｆ,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032621,34.2315765,135.1930524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
スタッド 福島教室,和歌山県和歌山市福島54-1-101,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123963,34.2492592,135.16454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
日本空手協会 和歌山北支部,和歌山県和歌山市中野・松江,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123665,34.2559487,135.1406803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
森井塾,和歌山県和歌山市鷺ノ森西ノ丁１８,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032557,34.236569,135.1705262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
学研 なかのしま教室,和歌山県和歌山市中之島1612,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123850,34.2392541,135.1843439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
セレソン中之島FC,和歌山県和歌山市　せせらぎ公園西グラウンド,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123957,34.2493753,135.1894034,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ＧＥＳふじと台ラーニングセンター,和歌山県和歌山市中５８３－１－２０２,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032661,34.2711627,135.1476375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
合気道至誠館道場,和歌山県和歌山市新中島９９,,,,https://sp-sukusuku.jp/kyoushitsu/s18000002280,34.2172094,135.1978164,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
家庭教師・学参,和歌山県和歌山市全域,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123877,34.2303678,135.1707405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
学研 紀三井寺団地教室,和歌山県和歌山市紀三井寺1-160,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123827,34.1682409,135.195979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
岩橋珠算教室,和歌山県和歌山市坂田６６８－３,,,,https://sp-sukusuku.jp/kyoushitsu/s18000056903,34.2018385,135.1986532,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
学研 吉礼みどり教室,和歌山県和歌山市吉礼650-8,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123824,34.201338,135.2347029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
大学受験専門アカデミーキャンパス,和歌山県和歌山市黒田１丁目２－２１,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032833,34.2326855,135.1933444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ＴＧＫわーくるーむ,和歌山県和歌山市関戸１丁目４－３０,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032913,34.199731,135.1672702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
個別指導Ｗａｍ／河北校,和歌山県和歌山市狐島６０１－２０１,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032606,34.2479638,135.1566432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ガウディアけやき通り教室,和歌山県和歌山市友田町２丁目１４５,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032862,34.2319133,135.1854626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ＴＳ進学塾宮前教室,和歌山県和歌山市中島５５１－５,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032877,34.214751,135.1932756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
上野塾,和歌山県和歌山市津秦１６６－３,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032648,34.2206715,135.204331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
アカデミーキャンパス県庁前校,和歌山県和歌山市南中間町３０,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032752,34.2249374,135.1644701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ＧＥＳ／Ｊ―ＣＡＭＰＵＳ河北,和歌山県和歌山市北島４５３－１,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032836,34.2380396,135.1552609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
学習塾ミューゼ,和歌山県和歌山市有本４４３－１３,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032556,34.2508192,135.1981902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
けいせい塾,和歌山県和歌山市園部５９６－１７１,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032902,34.263759,135.1883915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
スタッドみなと教室,和歌山県和歌山市湊５５６,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032856,34.2155993,135.1576592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
川端塾,和歌山県和歌山市福町４９－５Ｆ,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032920,34.2328735,135.1714749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ヤマハ音楽教室 福島センター,和歌山県和歌山市福島318,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123899,34.2496559,135.165193,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東進衛星予備校／和歌山駅前校,和歌山県和歌山市太田１丁目１３－１５,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032715,34.232108,135.1936775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
株式会社服部楽器店,和歌山県和歌山市吹上１丁目２－２０,,,,https://sp-sukusuku.jp/kyoushitsu/s18000048819,34.2242212,135.1701786,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ニッケンスクール高典塾,和歌山県和歌山市堀止西１丁目１０－１４,,,,https://sp-sukusuku.jp/kyoushitsu/s18000002738,34.2130396,135.1664008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
野崎珠算塾野崎教場,和歌山県和歌山市野崎１０６－８,,,,https://sp-sukusuku.jp/kyoushitsu/s18000056929,34.2429304,135.1576438,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
マイゼミナール,和歌山県和歌山市神前３５１－１,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032551,34.21035810000001,135.2014342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ミュージックサロン和歌山,和歌山県和歌山市南大工町７－１－４Ｆ,,,,https://sp-sukusuku.jp/kyoushitsu/s18000048829,34.2345903,135.173975,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
能開センター／個別指導Ａｘｉｓ／個別紀ノ川北校,和歌山県和歌山市向１５３－１,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032728,34.2582008,135.1439097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
個別指導Ｗａｍ／日進校,和歌山県和歌山市鳴神１２０４－２－１Ｆ－Ｂ,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032810,34.2275393,135.2074941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
明光義塾 和歌山西庄教室,和歌山県和歌山市西庄274-62レスペート西庄Ⅵ,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123644,34.2580717,135.1190775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
スタッド 吐前教室,和歌山県和歌山市吐前644-1,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123965,34.2450734,135.2737475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
能開センター／和歌山校／中学部,和歌山県和歌山市黒田１丁目４－１６,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032664,34.2334225,135.1926427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
優学館ゼミ,和歌山県和歌山市梶取２４４－２５,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032788,34.2485739,135.1576902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
英語専科塾,和歌山県和歌山市田尻１７３－３０２,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032592,34.2113823,135.1989745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
総合格闘技日本空手道無名塾,和歌山県和歌山市梶取１７２－１,,,,https://sp-sukusuku.jp/kyoushitsu/s18000001236,34.2512196,135.1567046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ＧＥＳ／パームシティ校,和歌山県和歌山市中野３１－１,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032838,34.2542792,135.1394014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
３ステップ学習塾,和歌山県和歌山市古屋１８２－２９,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032931,34.2541307,135.1226903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
株式会社エイチ・エム・グループ,和歌山県和歌山市六十谷２２６－１５,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032904,34.2614965,135.204988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
