Club,Genre,Address,Access,Age,Feature,url,longitude,latitude
ECC外語学院 ECCKIDS 和歌山ミオ校,英語・英会話,和歌山県和歌山市美園町5-61和歌山ミオ3F,阪和線(天王寺～和歌山)和歌山駅/JR和歌山線和歌山駅/きのくに線和歌山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,土日あり/親子コースあり/駅チカ,https://sp-sukusuku.jp/kyoushitsu/s92900000135,34.232415,135.1905193
ラボ・パーティ 和歌山市湊御殿教室(森 瑞穂パーティ),英語・英会話/幼児教室,和歌山県和歌山市湊御殿3丁目7-7,南海和歌山港線和歌山港駅,⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駐車場あり,https://sp-sukusuku.jp/kyoushitsu/s22000000038,34.2178447,135.1587525
ラボ・パーティ 和歌山市中之島教室(納谷 里咲パーティ),英語・英会話/幼児教室,和歌山県和歌山市中之島,紀勢本線(和歌山～和歌山市)紀和駅,ベビー,親子コースあり,https://sp-sukusuku.jp/kyoushitsu/s90300000058,34.2417354,135.1857186
講談社こども教室 パームシティ和歌山教室,幼児教室/学習塾,和歌山県和歌山市中野31-1パームシティ和歌山1階,南海加太線東松江駅/南海加太線中松江駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,土日あり/駐車場あり,https://sp-sukusuku.jp/kyoushitsu/s93400000066,34.2553942,135.1403921
講談社こども教室 ふじと台教室,幼児教室/学習塾,和歌山県和歌山市中字楠谷573イオンモール和歌山3階,南海本線和歌山大学前駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s93400000079,34.2755306,135.1492484
講談社こども教室 和歌山教室,幼児教室/学習塾,和歌山県和歌山市新生町7-20イズミヤ和歌山店2階,貴志川線田中口駅/きのくに線宮前駅/貴志川線和歌山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s93400000075,34.2216586,135.1874058
ピアノ教室 piano musica,音楽教室/ピアノ,和歌山県和歌山市中之島509-6,阪和線(天王寺～和歌山)紀伊中ノ島駅/紀勢本線(和歌山～和歌山市)紀和駅/紀勢本線(和歌山～和歌山市)和歌山駅,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s19000009285,34.243061,135.1872162
リーガ水球クラブ,スイミング・水泳,和歌山県和歌山市太田１２７　向陽高校プール,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000123882,34.2276051,135.1997686
進学塾ライナー（ＬＩＮＥＡＲ）,学習塾,和歌山県和歌山市出口中ノ丁３３,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032549,34.2214559,135.164313
ｉＴｅｅｎ和歌山駅前校,学習塾,和歌山県和歌山市太田１丁目１１－１３－２Ｆ,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032621,34.2315765,135.1930524
