Club,Genre,Address,Access,Age,Feature,url
ECCジュニア 森小手穂教室,英語・英会話/学習塾,和歌山県和歌山市森小手穂１２０２　,貴志川線交通センター前駅/貴志川線岡崎前駅/貴志川線竈山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005941
ECCジュニア 鳴神教室,英語・英会話,和歌山県和歌山市鳴神２４８－４１　,貴志川線日前宮駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005967
ECCジュニア 榎原団地教室,英語・英会話/学習塾,和歌山県和歌山市榎原１５０－１４４　,南海加太線中松江駅/南海加太線八幡前駅/南海加太線東松江駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s91200005961
ECCジュニア 松島東教室,英語・英会話,和歌山県和歌山市松島358-4　,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s91200005983
ECC外語学院 ECCKIDS 和歌山ミオ校,英語・英会話,和歌山県和歌山市美園町5-61和歌山ミオ3F,阪和線(天王寺～和歌山)和歌山駅/JR和歌山線和歌山駅/きのくに線和歌山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,土日あり/親子コースあり/駅チカ,https://sp-sukusuku.jp/kyoushitsu/s92900000135
ラボ・パーティ 和歌山市湊御殿教室(森 瑞穂パーティ),英語・英会話/幼児教室,和歌山県和歌山市湊御殿3丁目7-7,南海和歌山港線和歌山港駅,⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駐車場あり,https://sp-sukusuku.jp/kyoushitsu/s22000000038
ラボ・パーティ 和歌山市中之島教室(納谷 里咲パーティ),英語・英会話/幼児教室,和歌山県和歌山市中之島,紀勢本線(和歌山～和歌山市)紀和駅,ベビー,親子コースあり,https://sp-sukusuku.jp/kyoushitsu/s90300000058
講談社こども教室 パームシティ和歌山教室,幼児教室/学習塾,和歌山県和歌山市中野31-1パームシティ和歌山1階,南海加太線東松江駅/南海加太線中松江駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,土日あり/駐車場あり,https://sp-sukusuku.jp/kyoushitsu/s93400000066
講談社こども教室 ふじと台教室,幼児教室/学習塾,和歌山県和歌山市中字楠谷573イオンモール和歌山3階,南海本線和歌山大学前駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s93400000079
講談社こども教室 和歌山教室,幼児教室/学習塾,和歌山県和歌山市新生町7-20イズミヤ和歌山店2階,貴志川線田中口駅/きのくに線宮前駅/貴志川線和歌山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s93400000075
ピアノ教室 piano musica,音楽教室/ピアノ,和歌山県和歌山市中之島509-6,阪和線(天王寺～和歌山)紀伊中ノ島駅/紀勢本線(和歌山～和歌山市)紀和駅/紀勢本線(和歌山～和歌山市)和歌山駅,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s19000009285
能開センター 小松原校,学習塾,和歌山県和歌山市吹上4-1-1アズマハウス吹上ビル,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000123659
こどもダンスクラス,ダンス,和歌山県和歌山市美園町5-4-2T-LABOみその商店街...,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000123973
極真会館 和歌山支部 西庄道場,空手・拳法,和歌山県和歌山市西庄1037-53,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000123755
京阪珠算塾,書道・習字,和歌山県和歌山市久右衛門丁２,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000056924
